work_id,mp_id,constituency_id,state,district,constituency,block,village_or_urban_area,sector,sub_sector,work_type,work_description,recommended_amount,technical_estimate_amount,administrative_approval_amount,sanctioned_amount,released_amount,actual_expenditure,work_start_date,sanction_date,expected_completion_date,actual_completion_date,physical_progress_percent,financial_progress_percent,number_of_payments,first_payment_date,last_payment_date,implementing_agency_id,contractor_id,latitude,longitude,number_of_progress_updates,inspection_count
MPL-WORK-20240000,MP-754,CON-1002,Maharashtra,Maharashtra_Dist_1,Maharashtra_Const_5,Block-8,Village-29,Health,Hospital Ward,Procurement,"Hospital Ward at Village-29, Block-8, Maharashtra_Dist_1",3939167,4142053.49,4133121.53,4133121.53,4054927.92,4048494.32,2022-08-22,2022-07-11,2023-06-17,2023-07-21,100.0,97.95,10,2022-08-22,2023-08-25,AGENCY-102,CONT-0734,21.69792,79.808947,11,4
MPL-WORK-20240001,MP-703,CON-4147,Tamil Nadu,Tamil Nadu_Dist_1,Tamil Nadu_Const_3,Block-14,Village-44,Infrastructure,Village Road,Construction,"Village Road at Village-44, Block-14, Tamil Nadu_Dist_1",7724730,8447625.38,8335541.37,8335541.37,8222085.07,8077109.28,2024-01-23,2023-12-06,2024-08-12,2024-10-14,100.0,96.9,8,2024-02-09,2024-10-21,AGENCY-194,CONT-0081,19.936731,84.929284,12,5
MPL-WORK-20240002,MP-296,CON-5664,Maharashtra,Maharashtra_Dist_1,Maharashtra_Const_4,Block-10,Village-11,Health,Primary Health Centre,Procurement,"Primary Health Centre at Village-11, Block-10, Maharashtra_Dist_1",13254919,13144850.69,13049073.22,13049073.22,5176887.88,4539679.96,2022-07-02,2022-05-27,2023-09-28,,31.39,34.79,4,2022-07-07,2022-11-21,AGENCY-195,CONT-0277,27.81142,81.519996,4,2
MPL-WORK-20240003,MP-963,CON-2692,Uttar Pradesh,Uttar Pradesh_Dist_2,Uttar Pradesh_Const_1,Block-11,Village-52,Infrastructure,Village Road,Construction,"Village Road at Village-52, Block-11, Uttar Pradesh_Dist_2",7579409,8238593.37,8167276.82,8167276.82,3924517.72,3477424.02,2022-12-07,2022-10-20,2023-08-15,,34.88,42.58,4,2022-12-30,2023-05-11,AGENCY-276,CONT-0270,23.446249,77.711809,6,2
MPL-WORK-20240004,MP-324,CON-5011,Bihar,Bihar_Dist_5,Bihar_Const_8,Block-3,Village-97,Education,Construction of School Building,Construction,"Construction of School Building at Village-97, Block-3, Bihar_Dist_5",5628503,5876815.14,5852376.92,5852376.92,1282710.43,562950.83,2024-11-06,2024-08-16,2025-09-10,,8.95,9.62,9,2024-12-03,2024-10-17,AGENCY-059,CONT-0699,25.926192,83.5158,2,0
MPL-WORK-20240005,MP-400,CON-2731,Karnataka,Karnataka_Dist_2,Karnataka_Const_8,Block-1,Village-93,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-93, Block-1, Karnataka_Dist_2",6494562,6664409.42,6545304.53,6545304.53,5128008.65,4771204.74,2023-02-19,2022-11-27,2024-05-15,,78.92,72.9,1,2023-03-10,2023-04-18,AGENCY-251,CONT-0020,12.013619,76.533654,9,2
MPL-WORK-20240006,MP-159,CON-7837,West Bengal,West Bengal_Dist_5,West Bengal_Const_2,Block-3,Village-94,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-94, Block-3, West Bengal_Dist_5",18374652,19566710.57,19225620.33,19225620.33,3951533.21,793667.05,2024-06-27,2024-05-16,2025-09-26,,14.2,4.13,4,2024-07-19,2024-10-02,AGENCY-205,CONT-0688,21.697805,77.885802,4,0
MPL-WORK-20240007,MP-353,CON-2702,West Bengal,West Bengal_Dist_1,West Bengal_Const_6,Block-1,Village-76,Electricity,Street Lights,Procurement,"Street Lights at Village-76, Block-1, West Bengal_Dist_1",20244773,19901271.99,19531503.61,19531503.61,19628629.11,18778507.29,2023-12-02,2023-11-08,2025-02-17,2025-02-17,100.0,96.14,5,2023-12-23,2025-03-20,AGENCY-110,CONT-0553,12.381613,86.839256,13,2
MPL-WORK-20240008,MP-903,CON-2792,Gujarat,Gujarat_Dist_4,Gujarat_Const_4,Block-4,Village-13,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-13, Block-4, Gujarat_Dist_4",14712940,14884571.47,14844036.84,14844036.84,15320127.1,14601607.4,2022-08-12,2022-07-21,2023-09-02,2023-11-04,100.0,98.37,6,2022-09-06,2023-11-10,AGENCY-128,CONT-0197,13.42376,78.075044,13,2
MPL-WORK-20240009,MP-385,CON-9862,Gujarat,Gujarat_Dist_2,Gujarat_Const_2,Block-15,Village-71,Education,Construction of School Building,Construction,"Construction of School Building at Village-71, Block-15, Gujarat_Dist_2",22382351,24618177.09,24537443.05,24537443.05,25484512.43,24447104.76,2023-02-12,2022-12-07,2024-04-15,2024-05-16,100.0,99.63,4,2023-03-11,2024-06-10,AGENCY-031,CONT-0169,16.821516,87.735559,12,4
MPL-WORK-20240010,MP-392,CON-2731,Karnataka,Karnataka_Dist_5,Karnataka_Const_8,Block-5,Village-25,Infrastructure,Village Road,Construction,"Village Road at Village-25, Block-5, Karnataka_Dist_5",2462373,2553178.04,2529800.89,2529800.89,712432.97,608634.09,2022-12-11,2022-11-19,2024-02-24,,24.0,24.06,2,2023-01-07,2023-03-06,AGENCY-036,CONT-0610,11.223296,85.512746,5,0
MPL-WORK-20240011,MP-683,CON-4073,West Bengal,West Bengal_Dist_5,West Bengal_Const_1,Block-20,Village-11,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-11, Block-20, West Bengal_Dist_5",20084792,20783422.18,20499258.7,20499258.7,6431254.86,5959516.41,2023-11-19,2023-09-07,2024-10-25,,34.3,29.07,2,2023-11-19,2024-03-02,AGENCY-289,CONT-0103,11.318693,73.836778,5,1
